60.6, -44.8, -21.3
70.9, -26.3, -10.3
80.4, -14.7, 10.0
84.6, -7.5, 28.9
76.7, -12.4, 17.7
57.5, 0.0, 1.0
40.7, 105.1, 4.8
34.4, -48.0, -7.3
40.1, -95.9, -17.1
53.0, -58.9, -21.8
63.7, -34.0, -19.9
73.8, -24.2, -7.2
82.7, -13.1, 15.3
84.7, -7.8, 31.0
74.0, -12.7, 12.0
52.8, 8.3, -0.7
36.5, 116.4, 1.6
31.8, -76.2, -10.6
39.6, -91.6, -19.1
53.4, -57.8, -22.4
64.7, -37.2, -17.9
74.9, -25.1, -3.5
82.9, -14.5, 18.1
82.7, -10.8, 28.5
70.0, -12.3, 2.9
50.3, 35.6, 7.8
38.2, 44.9, 0.6
36.4, -125.0, -11.0
45.9, -74.7, -19.3
57.6, -45.9, -22.0
67.3, -30.0, -16.0
77.0, -18.4, 2.4
83.9, -10.3, 24.8
80.6, -11.9, 28.0
64.1, -13.6, -4.2
44.5, 64.1, 10.2
34.5, -2.5, -1.3
36.1, -111.0, -13.8
48.0, -64.2, -21.1
59.4, -38.8, -22.0
69.4, -25.6, -12.3
79.2, -15.6, 7.7
84.5, -7.4, 28.5
78.0, -11.8, 22.3
59.0, -8.9, -8.6
39.6, 79.4, 4.6
31.4, -28.1, -6.6
35.6, -106.2, -16.8
49.1, -65.2, -22.5
61.3, -41.2, -21.1
72.0, -29.3, -8.6
81.3, -14.1, 12.9
84.3, -7.8, 29.8
74.6, -12.2, 14.4
54.4, 8.7, 4.7
38.7, 119.3, 4.4
33.7, -73.9, -8.4
40.7, -89.2, -17.9
53.6, -55.4, -22.3
64.1, -34.6, -18.3
74.0, -22.9, -3.1
82.1, -10.8, 19.4
81.9, -6.8, 29.5
68.9, -12.1, 1.9
48.8, 36.5, 7.7
36.7, 46.0, 0.2
35.3, -125.8, -11.4
45.4, -76.1, -19.6
57.5, -47.4, -21.6
67.4, -31.7, -14.8
76.9, -19.8, 2.4
83.3, -12.0, 22.7
80.1, -12.7, 25.0
64.6, -9.5, -4.5
46.6, 68.8, 8.9
